tag_number_masked,date_of_infraction,infraction_code,infraction_description,set_fine_amount,time_of_infraction,location1,location2,location3,location4,province
***87227,20100103,15,PARK-3M OF FIRE HYDRANT,100,0928,NR,74 ROBINA AVE,,,ON
***91875,20100103,29,PARK PROHIBITED TIME NO PERMIT,30,0929,W/S,90 FOLLIS AVE,,,ON
***51535,20100103,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0930,,275 SHUTER ST,,,ON
***67191,20100103,48,FAIL TO PARK/STOP PARA TO CURB,15,0930,NR,44 STUBBS DR,,,ON
***11070,20100103,29,PARK PROHIBITED TIME NO PERMIT,30,0930,NR,659 EUCLID AVE,,,ON
***28166,20100103,29,PARK PROHIBITED TIME NO PERMIT,30,0930,NR,69 RIVERDALE AVE,,,ON
***91876,20100103,29,PARK PROHIBITED TIME NO PERMIT,30,0931,NR,60 FOLLIS AVE,,,ON
***21169,20100103,8,STD VEH HWY PROHIB TIME/DAY,60,0931,NR,894 EGLINTON AVE W,,,ON
***56297,20100103,29,PARK PROHIBITED TIME NO PERMIT,30,0931,NR,392 BALLIOL ST,,,ON
***91877,20100103,29,PARK PROHIBITED TIME NO PERMIT,30,0933,NR,6 FOLLIS AVE,,,ON
***84218,20100103,8,STAND VEH-HWY-PROH TIME/DAYS,60,0933,NR,341 BLOOR ST W,,,ON
***17683,20100103,6,PARK HWY IN EXCESS PRMTD TIME,30,0933,NR,53 ST GERMAIN AVE,,,ON
***17684,20100103,6,PARK HWY IN EXCESS PRMTD TIME,30,0933,NR,59 ST GERMAIN AVE,,,ON
***56632,20100103,5,PARK HWY PROHIBED TIME/DAY,40,0933,NR,260 QUEENS QUAY W,,,ON
***85347,20100103,5,PARK HWY PROHIBED TIME/DAY,40,0934,NR,740 BROADVIEW AVE,,,ON
***66663,20100103,2,PARK LONGER THAN 3 HOURS,15,0935,OPP,41 DON VALLEY DR,,,ON
***46057,20100103,9,STOP HWY PROHIBITED TIME/DAY,60,0935,OPP,68 RIVER ST,,,ON
***11071,20100103,29,PARK PROHIBITED TIME NO PERMIT,30,0936,N/S,ULSTER ST,E/O,PALMERSTON BLVD,ON
***11771,20100103,29,PARK PROHIBITED TIME NO PERMIT,30,0936,NR,22 GLENDALE AVE,,,ON
***17685,20100103,6,PARK HWY IN EXCESS PRMTD TIME,30,0936,NR,64 BROOKDALE AVE,,,ON
***46058,20100103,9,STOP HWY PROHIBITED TIME/DAY,60,0936,NR,77 RIVER ST,,,ON
***88875,20100103,29,PARK PROHIBITED TIME NO PERMIT,30,0936,NR,51 HUNTLEY ST,,,ON
***91878,20100103,134,PARK IN PUBLIC LANE,30,0937,R/O,703 MARKHAM ST,,,ON
***91195,20100103,29,PARK PROHIBITED TIME NO PERMIT,30,0937,NR,469 MARGUERETTA ST,,,ON
***11072,20100103,29,PARK PROHIBITED TIME NO PERMIT,30,0937,N/S,ULSTER ST,E/O,PALMERSTON BLVD,ON
***17686,20100103,6,PARK HWY IN EXCESS PRMTD TIME,30,0937,NR,28 BROOKDALE AVE,,,ON
***79813,20100103,6,PARK-HWY-EXCESS PERMITTED TIME,30,0937,NR,367 KIPLING AVE,,,ON
***66664,20100103,2,PARK LONGER THAN 3 HOURS,15,0938,NR,66 DON VALLEY DR,,,ON
***17687,20100103,6,PARK HWY IN EXCESS PRMTD TIME,30,0938,NR,16 GOLFDALE RD,,,ON
***51536,20100103,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0940,,275 SHUTER ST,,,ON
***17688,20100103,6,PARK HWY IN EXCESS PRMTD TIME,30,0940,NR,60 SNOWDON AVE,,,ON
***56298,20100103,29,PARK PROHIBITED TIME NO PERMIT,30,0940,NR,47 ROSELAWN AVE,,,ON
***51537,20100103,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0941,,285 SHUTER ST,,,ON
***85348,20100103,29,PARK PROHIBITED TIME NO PERMIT,30,0941,S/S,MOUNTSTEPHEN ST,W/O,HAMILTON ST,ON
***21170,20100103,5,PARK HWY PROHIBED TIME/DAY,40,0942,NR,338 CALEDONIA RD,,,ON
***91879,20100103,29,PARK PROHIBITED TIME NO PERMIT,30,0943,NR,599 PALMERSTON AVE,,,ON
***84219,20100103,8,STD VEH HWY PROHIB TIME/DAY,60,0943,OPP,115 EDWARD ST,,,NY
***84220,20100103,8,STD VEH HWY PROHIB TIME/DAY,60,0944,OPP,115 EDWARD ST,,,QC
***17689,20100103,29,PARK PROHIBITED TIME NO PERMIT,30,0944,NR,66 WOBURN AVE,,,ON
***21561,20100103,8,STD VEH HWY PROHIB TIME/DAY,60,0944,NR,EDWARD ST,,,ON
***56299,20100103,29,PARK PROHIBITED TIME NO PERMIT,30,0944,NR,19 HENNING AVE,,,ON
***79814,20100103,6,PARK-HWY-EXCESS PERMITTED TIME,30,0944,NR,3671 LAKE SHORE BLVD W,,,ON
***79815,20100103,6,PARK-HWY-EXCESS PERMITTED TIME,30,0944,NR,3677 LAKE SHORE BLVD W,,,ON
***51538,20100103,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0945,,285 SHUTER ST,,,NY
***79816,20100103,6,PARK-HWY-EXCESS PERMITTED TIME,30,0945,NR,3681 LAKE SHORE BLVD W,,,ON
***41279,20100103,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0946,,2821 BIRCHMOUNT RD,,,ON
***66665,20100103,210,PARK FAIL TO DISPLAY RECEIPT,30,0947,OPP,1 KNIGHT ST,,,ON
***79817,20100103,6,PARK-HWY-EXCESS PERMITTED TIME,30,0947,NR,3621 LAKE SHORE BLVD W,,,ON
***84221,20100103,8,STD VEH HWY PROHIB TIME/DAY,60,0948,NR,115 ELM ST,,,ON
***79818,20100103,6,PARK-HWY-EXCESS PERMITTED TIME,30,0948,NR,3553 LAKE SHORE BLVD W,,,ON
***85349,20100103,29,PARK PROHIBITED TIME NO PERMIT,30,0948,OPP,12 DE GRASSI ST,,,ON
***85350,20100103,29,PARK PROHIBITED TIME NO PERMIT,30,0948,OPP,12 DE GRASSI ST,,,ON
***56300,20100103,29,PARK PROHIBITED TIME NO PERMIT,30,0949,NR,41 LATIMER AVE,,,ON
***79819,20100103,6,PARK-HWY-EXCESS PERMITTED TIME,30,0949,NR,3531 LAKE SHORE BLVD W,,,ON
***87228,20100103,29,PARK PROHIBITED TIME NO PERMIT,30,0949,NR,24 HEATHDALE RD,,,ON
***48487,20100103,5,PARK HWY PROHIBED TIME/DAY,40,0950,,105 BOWMORE RD,,,ON
***84222,20100103,5,PARK HWY PROHIBED TIME/DAY,40,0950,E/S,ELIZABETH ST,N/O,EDWARD ST,ON
***73820,20100103,347,PARK IN A FIRE ROUTE,250,0950,AT,105 ROWENA DR,,,ON
***79820,20100103,6,PARK-HWY-EXCESS PERMITTED TIME,30,0950,NR,3531 LAKE SHORE BLVD W,,,ON
***85351,20100103,29,PARK PROHIBITED TIME NO PERMIT,30,0950,OPP,12 DE GRASSI ST,,,ON
***51540,20100103,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0951,,295 SHUTER ST,,,ON
***91880,20100103,29,PARK PROHIBITED TIME NO PERMIT,30,0951,NR,67 WALMER RD,,,MI
***56301,20100103,48,FAIL TO PARK/STOP PARA TO CURB,15,0951,NR,111 LATIMER AVE,,,ON
***46563,20100103,355,PARK IN DISABLED NO PERMIT,450,0952,AT,555 REXDALE BLVD,,,ON
***64435,20100103,337,PARK - ON BOULEVARD,50,0952,NR,65 FRITH RD,,,ON
***11073,20100103,29,PARK PROHIBITED TIME NO PERMIT,30,0953,NR,519 EUCLID AVE,,,ON
***21562,20100103,5,PARK HWY PROHIBED TIME/DAY,40,0953,NR,169 KING ST E,,,ON
***21171,20100103,8,STD VEH HWY PROHIB TIME/DAY,60,0954,NR,21 VAUGHAN RD,,,ON
***21172,20100103,8,STD VEH HWY PROHIB TIME/DAY,60,0954,NR,21 VAUGHAN RD,,,ON
***35789,20100103,337,PARK - ON BOULEVARD,50,0955,NR,48 JAMES PARK SQ,,,ON
***87229,20100103,9,STOP HWY PROHIBITED TIME/DAY,60,0957,NR,730 ST CLAIR AVE W,,,ON
***36738,20100103,2,PARK LONGER THAN 3 HOURS,15,0959,N/S,ADANAC DR,W/O,MASON RD,ON
***21563,20100103,48,FAIL TO PARK/STOP PARA TO CURB,15,1000,NR,8 COLBORNE ST,,,ON
***36739,20100103,2,PARK LONGER THAN 3 HOURS,15,1001,NR,140 ADANAC DR,,,ON
***36740,20100103,2,PARK LONGER THAN 3 HOURS,15,1001,NR,140 ADANAC DR,,,ON
***21564,20100103,5,PARK HWY PROHIBED TIME/DAY,40,1002,NR,2 COLBORNE ST,,,QC
***36741,20100103,2,PARK LONGER THAN 3 HOURS,15,1002,NR,140 ADANAC DR,,,ON
***36742,20100103,2,PARK LONGER THAN 3 HOURS,15,1003,NR,140 ADANAC DR,,,ON
***36743,20100103,2,PARK LONGER THAN 3 HOURS,15,1004,NR,140 ADANAC DR,,,ON
***66666,20100103,210,PARK FAIL TO DISPLAY RECEIPT,30,1005,NR,825 COXWELL AVE,,,ON
***36744,20100103,2,PARK LONGER THAN 3 HOURS,15,1005,NR,140 ADANAC DR,,,ON
***36745,20100103,2,PARK LONGER THAN 3 HOURS,15,1005,NR,140 ADANAC DR,,,ON
***46059,20100103,9,STOP HWY PROHIBITED TIME/DAY,60,1005,NR,150 RIVER ST,,,ON
***84223,20100103,9,STOP HWY PROHIBITED TIME/DAY,60,1006,NR,60 GROSVENOR ST,,,ON
***21565,20100103,16,PARK 9M OF INTERSCTING HIGHWAY,40,1006,NR,45 SHEPPARD ST,,,ON
***36746,20100103,2,PARK LONGER THAN 3 HOURS,15,1006,NR,140 ADANAC DR,,,ON
***86628,20100103,5,PARK HWY PROHIBED TIME/DAY,40,1006,OPP,90 FRASER AVE,,,ON
***56633,20100103,9,STOP HWY PROHIBITED TIME/DAY,60,1007,NR,390 QUEENS QUAY W,,,ON
***46564,20100103,357,PARK IN DISABLED NOT DROP OFF,450,1008,AT,555 REXDALE BLVD,,,ON
