tag_number_masked,date_of_infraction,infraction_code,infraction_description,set_fine_amount,time_of_infraction,location1,location2,location3,location4,province
***18146,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0001,,1245 DUPONT ST,,,ON
***18147,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0003,,1245 DUPONT ST,,,ON
***10653,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0004,AT,2957 LAWRENCE AVE E,,,ON
***18148,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0005,,1245 DUPONT ST,,,ON
***57592,20100101,29,PARK PROHIBITED TIME NO PERMIT,30,0005,NR,36 PHOEBE ST,,,ON
***18149,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0007,,1245 DUPONT ST,,,ON
***57593,20100101,29,PARK PROHIBITED TIME NO PERMIT,30,0007,NR,30 PHOEBE ST,,,ON
***57594,20100101,29,PARK PROHIBITED TIME NO PERMIT,30,0007,NR,30 PHOEBE ST,,,ON
***53738,20100101,5,PARK-HWY PROHIB TIMES/DAYS,40,0007,NR,33 KING ST,,,ON
***68100,20100101,8,STAND VEH-HWY-PROH TIME/DAYS,60,0007,NR,832 DUNDAS ST W,,,ON
***69901,20100101,8,STD VEH HWY PROHIB TIME/DAY,60,0007,NR,159 NIAGARA ST,,,ON
***95815,20100101,192,STAND SIGNED TRANSIT STOP,60,0007,NR,824 DUNDAS ST W,,,ON
***97052,20100101,8,STAND VEH-HWY-PROH TIME/DAYS,60,0007,NR,5140 YONGE ST,,,ON
***57595,20100101,29,PARK PROHIBITED TIME NO PERMIT,30,0008,NR,30 PHOEBE ST,,,ON
***68101,20100101,8,STAND VEH-HWY-PROH TIME/DAYS,60,0008,NR,832 DUNDAS ST W,,,ON
***97053,20100101,8,STAND VEH-HWY-PROH TIME/DAYS,60,0008,NR,5140 YONGE ST,,,ON
***18150,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0009,,1245 DUPONT ST,,,ON
***95816,20100101,192,STAND SIGNED TRANSIT STOP,60,0009,NR,828 DUNDAS ST W,,,ON
***99481,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0010,,1245 DUPONT ST,,,ON
***67226,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0010,,200 WOOLNER AV,,,ON
***53739,20100101,5,PARK-HWY PROHIB TIMES/DAYS,40,0011,NR,182 CHURCH ST,,,ON
***99482,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0012,,1245 DUPONT ST,,,ON
***53740,20100101,5,PARK-HWY PROHIB TIMES/DAYS,40,0012,NR,186 CHURCH ST,,,ON
***99483,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0014,,1245 DUPONT ST,,,ON
***99484,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0016,,1245 DUPONT ST,,,ON
***73727,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0016,AT,100 MC CAUL ST,,,ON
***95817,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0016,NR,308 PALMERSTON AVE,,,ON
***53741,20100101,15,PARK-3M OF FIRE HYDRANT,100,0017,NR,209 CHURCH ST,,,ON
***95818,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0017,NR,308 PALMERSTON AVE,,,ON
***99485,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0018,,1245 DUPONT ST,,,ON
***69902,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0018,AT,5 BROOKFIELD ST,,,ON
***95819,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0019,NR,308 PALMERSTON AVE,,,ON
***99486,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0020,,1245 DUPONT ST,,,ON
***69903,20100101,337,PARK - ON BOULEVARD,50,0020,AT,5 BROOKFIELD ST,,,ON
***57596,20100101,29,PARK PROHIBITED TIME NO PERMIT,30,0023,NR,176 PHOEBE ST,,,ON
***97054,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0023,AT,12 GOLDFINCH CRT,,,ON
***53742,20100101,5,PARK HWY PROHIBED TIME/DAY,40,0024,NR,2180 WESTON RD,,,ON
***67229,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0025,,200 WOOLNER AV,,,ON
***53743,20100101,5,PARK HWY PROHIBED TIME/DAY,40,0025,NR,2180 WESTON RD,,,ON
***53744,20100101,5,PARK HWY PROHIBED TIME/DAY,40,0025,NR,2180 WESTON RD,,,ON
***57597,20100101,29,PARK PROHIBITED TIME NO PERMIT,30,0026,NR,190 PHOEBE ST,,,ON
***20231,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0028,,15 TOBERMORY DR,,,ON
***67230,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0028,,200 WOOLNER AV,,,ON
***68102,20100101,8,STAND VEH-HWY-PROH TIME/DAYS,60,0029,NR,1448 DUNDAS ST W,,,ON
***73130,20100101,5,PARK HWY PROHIBED TIME/DAY,40,0032,OPP,101 SPADINA AVE,,,IL
***68103,20100101,8,STAND VEH-HWY-PROH TIME/DAYS,60,0032,NR,1504 DUNDAS ST W,,,ON
***67232,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0036,,210 WOOLNER AV,,,ON
***57585,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0037,,35 TOBERMORY DR,,,ON
***10468,20100101,192,STAND SIGNED TRANSIT STOP,60,0037,W/S,SCOTT ST,N/O,THE ESPLANADE,ON
***68104,20100101,8,STAND VEH-HWY-PROH TIME/DAYS,60,0039,NR,1596 DUNDAS ST W,,,ON
***67233,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0040,,210 WOOLNER AV,,,ON
***70498,20100101,5,PARK HWY PROHIBED TIME/DAY,40,0040,NR,326 ADELAIDE ST W,,,ON
***95820,20100101,192,STAND SIGNED TRANSIT STOP,60,0040,NR,1596 DUNDAS ST W,,,ON
***57586,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0042,,35 TOBERMORYD R,,,ON
***67234,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0043,,210 WOOLNER AV,,,ON
***68105,20100101,8,STAND VEH-HWY-PROH TIME/DAYS,60,0043,OPP,1637 DUNDAS ST W,,,ON
***57587,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0045,,35 TOBERMORY DR,,,ON
***67235,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0046,,210 WOOLNER AV,,,ON
***35077,20100101,364,STAND ON-STRT DISABL NO PERMIT,450,0046,NR,140 THE ESPLANADE,,,ON
***99487,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0047,,100 LYNN WILLIAMS ST,,,ON
***99488,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0049,,100 LYNN WILLIAMS ST,,,ON
***68106,20100101,15,PARK 3M OF FIRE HYDRANT,100,0051,NR,180 MONTROSE AVE,,,ON
***99489,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0052,,100 LYNN WILLIAMS ST,,,ON
***10469,20100101,9,STOP HWY PROHIBITED TIME/DAY,60,0053,NR,237 SHERBOURNE ST,,,ON
***95821,20100101,15,PARK 3M OF FIRE HYDRANT,100,0055,NR,104 MONTROSE AVE,,,ON
***99490,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0056,,100 LYNN WILLIAMS ST,,,ON
***63349,20100101,5,PARK-HWY DRNG PROH TIMES/DAYS,40,0056,NR,199 RICHMOND ST W,,,ON
***73728,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0057,AT,10 QUEENS QUAY W,,,ON
***73729,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0058,AT,10 QUEENS QUAY W,,,ON
***52763,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0059,,1149 WESTON RD,,,ON
***99491,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0059,,100 LYNN WILLIAMS ST,,,ON
***35078,20100101,9,STOP HWY PROHIBITED TIME/DAY,60,0059,NR,583 SHERBOURNE ST,,,ON
***73730,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0100,AT,10 QUEENS QUAY W,,,ON
***35079,20100101,9,STOP HWY PROHIBITED TIME/DAY,60,0100,NR,583 SHERBOURNE ST,,,FL
***53745,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0100,AT,155 BRIARWOOD AVE,,,ON
***68107,20100101,9,STOP HWY PROHIBITED TIME/DAY,60,0100,OPP,156 BEATRICE ST,,,ON
***95822,20100101,9,STOP HWY PROHIBITED TIME/DAY,60,0100,OPP,152 BEATRICE ST,,,ON
***73731,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0101,AT,10 QUEENS QUAY W,,,ON
***53746,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0101,AT,155 BRIARWOOD AVE,,,ON
***68108,20100101,9,STOP HWY PROHIBITED TIME/DAY,60,0101,OPP,156 BEATRICE ST,,,ON
***73732,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0102,AT,10 QUEENS QUAY W,,,AB
***97055,20100101,8,STAND VEH-HWY-PROH TIME/DAYS,60,0103,NR,4968 YONGE ST,,,QC
***34934,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0104,AT,3 ROWNTREE RD,,,ON
***27794,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0107,AT,1 ROWNTREE,,,ON
***10470,20100101,364,STAND ON-STRT DISABL NO PERMIT,450,0107,NR,84 CARLTON ST,,,ON
***27795,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0111,AT,1 ROWNTREE,,,ON
***69904,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0113,AT,600 FLEET ST,,,ON
***35080,20100101,9,STOP HWY PROHIBITED TIME/DAY,60,0116,OPP,345 SHERBOURNE ST,,,ON
***69905,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0130,AT,4k SPADINA AVE,,,ON
***87316,20100101,16,PARK 9M OF INTERSCTING HIGHWAY,40,0130,OPP,11 INDIAN TRL,,,ON
***17177,20100101,8,STAND VEH-HWY-PROH TIME/DAYS,60,0131,OPP,2860 DUNDAS ST W,,,ON
***17178,20100101,8,STAND VEH-HWY-PROH TIME/DAYS,60,0131,OPP,2868 DUNDAS ST W,,,ON
***57598,20100101,15,PARK - 3M OF FIRE HYDRANT,100,0135,NR,224 ADELAIDE ST W,,,ON
***53747,20100101,15,PARK 3M OF FIRE HYDRANT,100,0137,NR,500 MURRAY ROSS PKWY,,,ON
***68109,20100101,9,STOP-HWY-PROHIBITED TIMES/DAYS,60,0140,NR,776 ST CLAIR AVE W,,,ON
***87317,20100101,15,PARK - 3M OF FIRE HYDRANT,100,0140,NR,2466 DUNDAS ST W,,,ON
***95823,20100101,9,STOP HWY PROHIBITED TIME/DAY,60,0140,NR,780 ST CLAIR AVE W,,,ON
***89032,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0142,,340 DIXON RD,,,ON
***69906,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0143,AT,15 FORT YORK BLVD,,,ON
***69907,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0144,AT,15 FORT YORK BLVD,,,ON
***69908,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0144,AT,15 FORT YORK BLVD,,,ON
***69909,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0145,AT,15 FORT YORK BLVD,,,NS
***17179,20100101,8,STAND VEH-HWY-PROH TIME/DAYS,60,0146,NR,1610 DUNDAS ST W,,,ON
***17180,20100101,8,STAND VEH-HWY-PROH TIME/DAYS,60,0146,OPP,1594 DUNDAS ST W,,,ON
***69910,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0146,AT,15 FORT YORK BLVD,,,ON
***73131,20100101,5,PARK HWY PROHIBED TIME/DAY,40,0147,OPP,131 JOHN ST,,,ON
***17181,20100101,8,STAND VEH-HWY-PROH TIME/DAYS,60,0147,OPP,1588 DUNDAS ST W,,,ON
***69911,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0147,AT,15 FORT YORK BLVD,,,OR
***69912,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0147,AT,15 FORT YORK BLVD,,,ON
***69913,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0148,AT,15 FORT YORK BLVD,,,ON
***17182,20100101,8,STAND VEH-HWY-PROH TIME/DAYS,60,0149,NR,1575 DUNDAS ST W,,,ON
***68110,20100101,9,STOP-HWY-PROHIBITED TIMES/DAYS,60,0149,NR,1664 ST CLAIR AVE W,,,ON
***69914,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0149,AT,15 FORT YORK BLVD,,,NH
***95824,20100101,9,STOP HWY PROHIBITED TIME/DAY,60,0149,NR,1666 ST CLAIR AVE W,,,ON
***68111,20100101,9,STOP-HWY-PROHIBITED TIMES/DAYS,60,0150,NR,1672 ST CLAIR AVE W,,,ON
***69915,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0150,AT,15 FORT YORK BLVD,,,ON
***69916,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0151,AT,15 FORT YORK BLVD,,,ON
***95825,20100101,9,STOP HWY PROHIBITED TIME/DAY,60,0151,NR,1676 ST CLAIR AVE W,,,ON
***97056,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0151,AT,605 FINCH AVE W,,,ON
***52590,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0155,AT,30 DENTON AVE,,,ON
***68112,20100101,29,PARK PROHIBITED TIME NO PERMIT,30,0202,NR,206 BOWIE AVE,,,ON
***53748,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0203,AT,234 ALBION RD,,,ON
***53749,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0203,AT,234 ALBION RD,,,ON
***93500,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0204,AT,234 ALBION RD,,,ON
***47196,20100101,8,STAND VEH-HWY-PROH TIME/DAYS,60,0205,NR,199 RICHMOND ST W,,,ON
***57599,20100101,8,STAND VEH-HWY-PROH TIME/DAYS,60,0205,NR,199 RICHMOND ST W,,,ON
***70499,20100101,8,STD VEH HWY PROHIB TIME/DAY,60,0205,NR,325 ADELAIDE ST W,,,ON
***73132,20100101,8,STAND VEH-HWY-PROH TIME/DAYS,60,0205,NR,360 ADELAIDE ST W,,,ON
***93501,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0205,AT,234 ALBION RD,,,ON
***93502,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0205,AT,234 ALBION RD,,,ON
***47197,20100101,8,STAND VEH-HWY-PROH TIME/DAYS,60,0206,NR,199 RICHMOND ST W,,,ON
***57600,20100101,8,STAND VEH-HWY-PROH TIME/DAYS,60,0206,NR,199 RICHMOND ST W,,,ON
***89000,20100101,8,STD VEH HWY PROHIB TIME/DAY,60,0206,NR,325 ADELAIDE ST W,,,ON
***73133,20100101,8,STAND VEH-HWY-PROH TIME/DAYS,60,0206,NR,360 ADELAIDE ST W,,,ON
***47198,20100101,8,STAND VEH-HWY-PROH TIME/DAYS,60,0207,NR,199 RICHMOND ST W,,,ON
***47199,20100101,8,STAND VEH-HWY-PROH TIME/DAYS,60,0207,NR,199 RICHMOND ST W,,,ON
***57601,20100101,8,STAND VEH-HWY-PROH TIME/DAYS,60,0207,NR,199 RICHMOND ST W,,,ON
***73134,20100101,8,STAND VEH-HWY-PROH TIME/DAYS,60,0207,NR,360 ADELAIDE ST W,,,ON
***68113,20100101,29,PARK PROHIBITED TIME NO PERMIT,30,0207,NR,124 BOWIE AVE,,,ON
***10471,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0208,AT,18 BEVERLEY ST,,,ON
***57602,20100101,8,STAND VEH-HWY-PROH TIME/DAYS,60,0209,NR,199 RICHMOND ST W,,,ON
***89001,20100101,8,STD VEH HWY PROHIB TIME/DAY,60,0209,NR,318 ADELAIDE ST W,,,ON
***73135,20100101,8,STAND VEH-HWY-PROH TIME/DAYS,60,0209,NR,326 ADELAIDE ST W,,,ON
***68114,20100101,29,PARK PROHIBITED TIME NO PERMIT,30,0209,NR,108 BOWIE AVE,,,ON
***47200,20100101,206,STOP/STAND/PARK NOT DESIG AREA,105,0210,NR,199 RICHMOND ST W,,,ON
***73136,20100101,8,STAND VEH-HWY-PROH TIME/DAYS,60,0210,NR,312 ADELAIDE ST W,,,ON
***89002,20100101,8,STD VEH HWY PROHIB TIME/DAY,60,0211,NR,318 ADELAIDE ST W,,,ON
***68115,20100101,29,PARK PROHIBITED TIME NO PERMIT,30,0211,NR,102 BOWIE AVE,,,ON
***73137,20100101,8,STAND VEH-HWY-PROH TIME/DAYS,60,0213,NR,306 ADELAIDE ST W,,,ON
***73138,20100101,8,STAND VEH-HWY-PROH TIME/DAYS,60,0214,NR,294 ADELAIDE ST W,,,ON
***89003,20100101,8,STD VEH HWY PROHIB TIME/DAY,60,0215,NR,294 ADELAIDE ST W,,,ON
***73139,20100101,8,STAND VEH-HWY-PROH TIME/DAYS,60,0215,NR,294 ADELAIDE ST W,,,ON
***47201,20100101,8,STD VEH HWY PROHIB TIME/DAY,60,0218,NR,225 RICHMOND ST W,,,ON
***89004,20100101,8,STD VEH HWY PROHIB TIME/DAY,60,0218,NR,214 ADELAIDE ST W,,,ON
***62441,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0218,AT,75 THORNCLIFFE PARK DR,,,ON
***87318,20100101,8,STD VEH HWY PROHIB TIME/DAY,60,0218,NR,1618 QUEEN ST W,,,MI
***73140,20100101,8,STAND VEH-HWY-PROH TIME/DAYS,60,0219,NR,200 ADELAIDE ST W,,,ON
***32951,20100101,16,PARK 9M OF INTERSCTING HIGHWAY,40,0220,,DANFORTH AV,AND,FERRIER AV,ON
***89005,20100101,8,STD VEH HWY PROHIB TIME/DAY,60,0220,NR,200 ADELAIDE ST W,,,ON
***62442,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0220,AT,75 THORNCLIFFE PARK DR,,,ON
***57603,20100101,8,STAND VEH-HWY-PROH TIME/DAYS,60,0221,NR,300 RICHMOND ST W,,,ON
***62443,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0225,AT,71 THORNCLIFFE PARK DR,,,ON
***62444,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0226,AT,71 THORNCLIFFE PARK DR,,,ON
***43177,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0227,AT,40 HOMEWOOD AVE,,,ON
***62445,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0227,AT,71 THORNCLIFFE PARK DR,,,ON
***43178,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0230,AT,40 HOMEWOOD AVE,,,ON
***34863,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0231,AT,2 ARMEL COURT,,,ON
***67236,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0232,,210 WOOLNER AV,,,ON
***52591,20100101,355,PARK IN DISABLED NO PERMIT,450,0235,AT,5 MASSEY SQ,,,ON
***62446,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0235,AT,79 THORNCLIFFE PARK DR,,,ON
***69917,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0237,AT,165 GRANGE AVE,,,ON
***69918,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0238,AT,165 GRANGE AVE,,,ON
***69919,20100101,5,PARK HWY PROHIBED TIME/DAY,40,0241,NR,168 GRANGE AVE,,,ON
***69920,20100101,363,PARK ON-STRT DISABLD NO PERMIT,450,0252,S/S,NOBLE ST,E/O,BROCK AVE,ON
***87319,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0252,AT,190 MANITOBA ST,,,QC
***87320,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0253,AT,190 MANITOBA ST,,,ON
***69921,20100101,16,PARK 9M OF INTERSCTING HIGHWAY,40,0255,S/S,NOBLE ST,E/O,BROCK AVE,QC
***95826,20100101,9,STOP HWY PROHIBITED TIME/DAY,60,0255,NR,250 CALEDON RD,,,ON
***69922,20100101,192,STAND SIGNED TRANSIT STOP,60,0257,NR,1302 QUEEN ST W,,,ON
***93503,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0257,AT,61 MARKBROOK LANE,,,ON
***95827,20100101,9,STOP HWY PROHIBITED TIME/DAY,60,0257,NR,250 CALEDON RD,,,ON
***57604,20100101,5,PARK HWY PROHIBED TIME/DAY,40,0258,NR,367 QUEEN ST W,,,ON
***93504,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0258,AT,61 MARKBROOK LANE,,,ON
***89006,20100101,8,STD VEH HWY PROHIB TIME/DAY,60,0259,NR,296 RICHMOND ST W,,,ON
***69923,20100101,192,STAND SIGNED TRANSIT STOP,60,0259,W/S,GWYNNE AVE,S/O,QUEEN ST W,ON
***87321,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0300,AT,190 MANITOBA ST,,,ON
***87322,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0301,AT,190 MANITOBA ST,,,ON
***87323,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0302,AT,190 MANITOBA ST,,,ON
***95828,20100101,192,STAND SIGNED TRANSIT STOP,60,0306,OPP,1187 LANSDOWNE AVE,,,ON
***95829,20100101,192,STAND SIGNED TRANSIT STOP,60,0307,OPP,1187 LANSDOWNE AVE,,,ON
***47889,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0309,AT,1101 LESLIE ST,,,ON
***69924,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0310,AT,50 LYNN WILLIAMS ST,,,ON
***35081,20100101,9,STOP HWY PROHIBITED TIME/DAY,60,0311,OPP,379 SHUTER ST,,,ON
***69925,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0311,AT,50 LYNN WILLIAMS ST,,,ON
***95830,20100101,192,STAND SIGNED TRANSIT STOP,60,0311,OPP,1123 LANSDOWNE AVE,,,ON
***69926,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0312,AT,50 LYNN WILLIAMS ST,,,ON
***95831,20100101,192,STAND SIGNED TRANSIT STOP,60,0312,OPP,1123 LANSDOWNE AVE,,,ON
***69927,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0313,AT,50 LYNN WILLIAMS ST,,,ON
***69928,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0315,AT,50 LYNN WILLIAMS ST,,,ON
***69929,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0316,AT,50 LYNN WILLIAMS ST,,,ON
***57605,20100101,31,STOP RDSDE STOPPED/PARKED VEH,60,0317,NR,405 RICHMOND ST W,,,ON
***69930,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0317,AT,50 LYNN WILLIAMS ST,,,ON
***98851,20100101,30,STOP ON/OVER SIDEWALK/FOOTPATH,60,0318,,2441 YONGES T,,,ON
***10472,20100101,192,STAND SIGNED TRANSIT STOP,60,0318,NR,337 QUEEN ST E,,,ON
***69931,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0318,AT,50 LYNN WILLIAMS ST,,,ON
***73141,20100101,8,STAND VEH-HWY-PROH TIME/DAYS,60,0319,NR,360 ADELAIDE ST W,,,ON
***10473,20100101,192,STAND SIGNED TRANSIT STOP,60,0319,NR,337 QUEEN ST E,,,MN
***69932,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0320,AT,50 LYNN WILLIAMS ST,,,ON
***69933,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0320,AT,50 LYNN WILLIAMS ST,,,ON
***69934,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0321,AT,50 LYNN WILLIAMS ST,,,ON
***10654,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0323,AT,1950 KENNEDY RD,,,ON
***69935,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0323,AT,50 LYNN WILLIAMS ST,,,ON
***69936,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0323,AT,50 LYNN WILLIAMS ST,,,ON
***69937,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0324,AT,50 LYNN WILLIAMS ST,,,ON
***10655,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0325,R/O,1950 KENNEDY RD,,,ON
***69938,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0327,AT,50 LYNN WILLIAMS ST,,,ON
***69939,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0330,AT,50 LYNN WILLIAMS ST,,,ON
***95832,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0331,AT,50 LYNN WILLIAMS ST,,,ON
***68116,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0332,AT,50 LYNN WILLIAMS ST,,,ON
***68117,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0333,AT,50 LYNN WILLIAMS ST,,,ON
***95833,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0333,AT,50 LYNN WILLIAMS ST,,,ON
***95834,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0334,AT,50 LYNN WILLIAMS ST,,,ON
***95835,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0335,AT,50 LYNN WILLIAMS ST,,,ON
***68118,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0336,AT,50 LYNN WILLIAMS ST,,,ON
***95836,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0336,AT,50 LYNN WILLIAMS ST,,,ON
***57606,20100101,31,STOP ROADSDE STOPPED/PARKED VE,60,0337,OPP,411 QUEEN ST W,,,ON
***89007,20100101,8,STD VEH HWY PROHIB TIME/DAY,60,0339,NR,315 QUEEN ST W,,,ON
***62447,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0339,AT,900 MOUNT PLEASANT RD,,,ON
***63350,20100101,8,STAND VEH-HWY-PROH TIME/DAYS,60,0340,NR,300 RICHMOND ST W,,,ON
***62448,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0340,AT,900 MOUNT PLEASANT RD,,,ON
***62449,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0343,AT,900 MOUNT PLEASANT RD,,,ON
***57607,20100101,31,STOP RDSDE STOPPED/PARKED VEH,60,0350,NR,225 RICHMOND ST W,,,ON
***52592,20100101,9,STOP HWY PROHIBITED TIME/DAY,60,0352,OPP,490 SHERBOURNE ST,,,ON
***52593,20100101,9,STOP HWY PROHIBITED TIME/DAY,60,0356,NR,565 SHERBOURNE ST,,,ON
***52594,20100101,9,STOP HWY PROHIBITED TIME/DAY,60,0359,NR,595 SHERBOURNE ST,,,ON
***35082,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0400,AT,120 HOMEWOOD AVE,,,ON
***57608,20100101,8,STD VEH HWY PROHIB TIME/DAY,60,0403,OPP,70 CENTRE AVE,,,ON
***52595,20100101,9,STOP HWY PROHIBITED TIME/DAY,60,0404,NR,197 WELLESLEY ST E,,,ON
***97057,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0407,AT,509 BEECROFT RD,,,ON
